"Date","Approve","Disapprove","hard_to_say","source"
2019-12-22,62,26,12,"FOM"
2019-12-15,61,26,12,"FOM"
2019-12-08,61,28,12,"FOM"
2019-12-01,62,27,11,"FOM"
2019-11-24,62,27,11,"FOM"
2019-11-17,62,25,12,"FOM"
2019-11-10,63,25,12,"FOM"
2019-11-03,63,26,11,"FOM"
2019-10-27,62,25,12,"FOM"
2019-10-20,62,25,12,"FOM"
2019-10-13,62,26,12,"FOM"
2019-10-06,62,26,12,"FOM"
2019-09-29,60,27,12,"FOM"
2019-09-22,61,28,11,"FOM"
2019-09-15,62,26,11,"FOM"
2019-09-08,61,26,13,"FOM"
2019-09-01,61,26,13,"FOM"
2019-08-25,61,27,11,"FOM"
2019-08-18,60,29,11,"FOM"
2019-08-11,60,28,12,"FOM"
2019-08-04,60,27,12,"FOM"
2019-07-28,63,26,12,"FOM"
2019-07-21,64,25,11,"FOM"
2019-07-14,63,26,11,"FOM"
2019-07-07,63,26,11,"FOM"
2019-06-30,63,27,10,"FOM"
2019-06-23,62,26,11,"FOM"
2019-06-16,62,26,12,"FOM"
2019-06-09,63,25,12,"FOM"
2019-06-02,62,26,12,"FOM"
2019-05-26,63,26,11,"FOM"
2019-05-17,64,25,11,"FOM"
2019-05-12,62,26,12,"FOM"
2019-04-28,62,25,13,"FOM"
2019-04-21,62,25,12,"FOM"
2019-04-14,62,25,12,"FOM"
2019-04-07,62,25,13,"FOM"
2019-03-31,61,26,13,"FOM"
2019-03-24,62,26,13,"FOM"
2019-03-17,63,24,13,"FOM"
2019-03-10,63,24,13,"FOM"
2019-03-03,63,25,13,"FOM"
2019-02-24,61,27,12,"FOM"
2019-02-17,60,28,12,"FOM"
2019-02-10,61,26,12,"FOM"
2019-02-03,60,27,13,"FOM"
2019-01-27,60,26,14,"FOM"
2019-01-20,61,26,13,"FOM"
2019-01-13,60,27,13,"FOM"
2018-12-23,62,26,11,"FOM"
2018-12-16,63,26,11,"FOM"
2018-12-09,62,26,13,"FOM"
2018-12-02,63,24,12,"FOM"
2018-11-25,61,26,13,"FOM"
2018-11-18,61,26,14,"FOM"
2018-11-11,61,25,13,"FOM"
2018-11-04,64,24,12,"FOM"
2018-10-28,64,24,12,"FOM"
2018-10-21,65,22,13,"FOM"
2018-10-14,66,22,12,"FOM"
2018-10-07,63,24,12,"FOM"
2018-09-30,62,25,13,"FOM"
2018-09-23,63,24,13,"FOM"
2018-09-16,64,24,12,"FOM"
2018-09-09,64,25,11,"FOM"
2018-09-02,66,22,12,"FOM"
2018-08-26,63,24,12,"FOM"
2018-08-19,65,25,10,"FOM"
2018-08-12,63,24,13,"FOM"
2018-08-05,63,24,13,"FOM"
2018-07-29,63,24,12,"FOM"
2018-07-22,66,23,11,"FOM"
2018-07-15,64,25,11,"FOM"
2018-07-08,64,24,11,"FOM"
2018-07-01,64,25,11,"FOM"
2018-06-24,65,24,11,"FOM"
2018-06-17,69,19,11,"FOM"
2018-06-10,75,15,10,"FOM"
2018-06-03,75,15,10,"FOM"
2018-05-27,79,14,8,"FOM"
2018-05-20,77,14,9,"FOM"
2018-05-13,77,14,9,"FOM"
2018-04-29,78,12,10,"FOM"
2018-04-22,78,12,10,"FOM"
2018-04-15,78,13,9,"FOM"
2018-04-08,79,12,9,"FOM"
2018-04-01,80,13,8,"FOM"
2018-03-25,80,10,9,"FOM"
2018-03-11,79,11,9,"FOM"
2018-03-04,80,12,9,"FOM"
2018-02-18,80,12,9,"FOM"
2018-02-11,80,12,7,"FOM"
2018-02-04,81,12,7,"FOM"
2018-01-28,80,12,8,"FOM"
2018-01-21,81,11,9,"FOM"
2018-01-14,80,10,9,"FOM"
2017-12-24,80,12,8,"FOM"
2017-12-17,81,12,7,"FOM"
2017-12-10,81,13,7,"FOM"
2017-12-03,81,12,7,"FOM"
2017-11-26,80,11,8,"FOM"
2017-11-19,81,12,8,"FOM"
2017-11-12,81,11,9,"FOM"
2017-11-05,81,10,8,"FOM"
2017-10-29,83,10,8,"FOM"
2017-10-22,81,11,8,"FOM"
2017-10-15,81,11,8,"FOM"
2017-10-08,82,11,7,"FOM"
2017-10-01,82,11,7,"FOM"
2017-09-24,82,10,8,"FOM"
2017-09-17,81,10,8,"FOM"
2017-09-10,81,12,7,"FOM"
2017-09-03,80,12,8,"FOM"
2017-08-27,81,11,8,"FOM"
2017-08-20,81,11,8,"FOM"
2017-08-13,81,11,8,"FOM"
2017-08-06,81,12,7,"FOM"
2017-07-30,80,12,8,"FOM"
2017-07-23,81,12,7,"FOM"
2017-07-16,80,13,7,"FOM"
2017-07-09,80,13,7,"FOM"
2017-07-02,80,12,8,"FOM"
2017-06-25,79,13,8,"FOM"
2017-06-18,79,13,8,"FOM"
2017-06-11,80,12,8,"FOM"
2017-06-04,79,13,8,"FOM"
2017-05-28,78,13,9,"FOM"
2017-05-21,79,13,9,"FOM"
2017-05-14,79,13,8,"FOM"
2017-05-02,78,13,9,"FOM"
2017-04-23,77,14,9,"FOM"
2017-04-16,79,13,8,"FOM"
2017-04-09,81,12,7,"FOM"
2017-04-02,81,11,7,"FOM"
2017-03-26,81,12,7,"FOM"
2017-03-19,80,12,7,"FOM"
2017-03-12,81,12,8,"FOM"
2017-03-05,82,11,7,"FOM"
2017-02-26,81,11,8,"FOM"
2017-02-19,82,11,8,"FOM"
2017-02-12,82,11,7,"FOM"
2017-02-05,81,11,8,"FOM"
2017-01-29,82,11,8,"FOM"
2017-01-22,82,11,7,"FOM"
2017-01-15,82,11,7,"FOM"
2016-12-25,81,10,8,"FOM"
2016-12-18,81,11,8,"FOM"
2016-12-11,82,11,7,"FOM"
2016-12-04,82,10,8,"FOM"
2016-11-27,81,11,8,"FOM"
2016-11-20,81,12,8,"FOM"
2016-11-13,80,11,9,"FOM"
2016-11-06,81,10,9,"FOM"
2016-10-30,81,11,8,"FOM"
2016-10-23,80,11,8,"FOM"
2016-10-16,80,12,8,"FOM"
2016-10-09,79,12,8,"FOM"
2016-10-02,79,12,9,"FOM"
2016-09-25,79,12,9,"FOM"
2016-09-11,79,12,8,"FOM"
2016-09-04,80,13,7,"FOM"
2016-08-28,81,13,6,"FOM"
2016-08-21,81,11,8,"FOM"
2016-08-14,79,12,9,"FOM"
2016-08-07,80,11,8,"FOM"
2016-07-31,80,12,8,"FOM"
2016-07-24,79,13,8,"FOM"
2016-07-17,80,12,8,"FOM"
2016-07-10,81,12,7,"FOM"
2016-07-03,81,12,7,"FOM"
2016-06-26,80,12,8,"FOM"
2016-06-19,80,12,8,"FOM"
2016-06-12,81,12,7,"FOM"
2016-06-05,81,12,7,"FOM"
