"Date","Approve","Disapprove","No.Answer","source"
1999-08-15,31,33,37,"Levada"
1999-09-15,53,27,20,"Levada"
1999-10-15,65,20,15,"Levada"
1999-11-15,80,12,8,"Levada"
1999-12-15,79,13,8,"Levada"
2000-01-15,84,10,7,"Levada"
2000-02-15,75,17,8,"Levada"
2000-03-15,70,21,9,"Levada"
2000-04-15,77,15,8,"Levada"
2000-05-15,72,17,11,"Levada"
2000-06-15,61,26,13,"Levada"
2000-07-15,72,17,10,"Levada"
2000-08-15,65,26,10,"Levada"
2000-09-15,65,27,8,"Levada"
2000-10-15,64,26,11,"Levada"
2000-11-15,70,22,8,"Levada"
2000-12-15,68,23,10,"Levada"
2001-01-15,76,18,6,"Levada"
2001-02-15,69,21,10,"Levada"
2001-03-15,75,19,6,"Levada"
2001-04-15,70,25,6,"Levada"
2001-05-15,71,22,8,"Levada"
2001-06-15,72,22,6,"Levada"
2001-07-15,72,22,7,"Levada"
2001-08-15,74,19,7,"Levada"
2001-09-15,73,21,7,"Levada"
2001-10-15,75,19,6,"Levada"
2001-11-15,80,18,2,"Levada"
2001-12-15,73,19,9,"Levada"
2002-01-15,75,19,6,"Levada"
2002-02-15,75,20,5,"Levada"
2002-03-15,72,24,5,"Levada"
2002-04-15,71,22,8,"Levada"
2002-05-15,75,20,5,"Levada"
2002-06-15,75,20,4,"Levada"
2002-07-15,73,20,7,"Levada"
2002-08-15,76,20,5,"Levada"
2002-09-15,77,20,3,"Levada"
2002-10-15,77,19,4,"Levada"
2002-11-15,83,15,2,"Levada"
2002-12-15,82,16,2,"Levada"
2003-01-15,75,22,3,"Levada"
2003-02-15,76,22,2,"Levada"
2003-03-15,75,21,4,"Levada"
2003-04-15,73,24,3,"Levada"
2003-05-15,70,27,3,"Levada"
2003-06-15,77,22,2,"Levada"
2003-07-15,78,19,2,"Levada"
2003-08-15,74,23,3,"Levada"
2003-09-15,75,22,3,"Levada"
2003-10-15,73,24,3,"Levada"
2003-11-15,81,18,1,"Levada"
2003-12-15,86,13,1,"Levada"
2004-01-15,79,20,2,"Levada"
2004-02-15,82,17,1,"Levada"
2004-03-15,81,16,3,"Levada"
2004-04-15,79,19,2,"Levada"
2004-05-15,76,21,2,"Levada"
2004-06-15,72,25,3,"Levada"
2004-07-15,72,25,2,"Levada"
2004-08-15,68,30,3,"Levada"
2004-09-15,72,26,2,"Levada"
2004-10-15,72,26,2,"Levada"
2004-11-15,69,29,2,"Levada"
2004-12-15,69,28,2,"Levada"
2005-01-15,65,32,3,"Levada"
2005-02-15,66,32,3,"Levada"
2005-03-15,66,26,9,"Levada"
2005-04-15,66,31,3,"Levada"
2005-05-15,69,29,2,"Levada"
2005-06-15,66,32,2,"Levada"
2005-07-15,67,31,2,"Levada"
2005-08-15,70,27,3,"Levada"
2005-09-15,70,28,2,"Levada"
2005-10-15,71,26,3,"Levada"
2005-11-15,76,23,1,"Levada"
2005-12-15,73,25,2,"Levada"
2006-01-15,71,27,2,"Levada"
2006-02-15,75,23,2,"Levada"
2006-03-15,72,26,2,"Levada"
2006-04-15,72,26,1,"Levada"
2006-05-15,76,23,1,"Levada"
2006-06-15,77,21,2,"Levada"
2006-07-15,79,19,2,"Levada"
2006-08-15,78,21,1,"Levada"
2006-09-15,75,22,3,"Levada"
2006-10-15,77,22,1,"Levada"
2006-11-15,81,18,2,"Levada"
2006-12-15,78,21,1,"Levada"
2007-01-15,80,19,1,"Levada"
2007-02-15,81,18,1,"Levada"
2007-03-15,81,18,1,"Levada"
2007-04-15,79,19,1,"Levada"
2007-05-15,80,18,2,"Levada"
2007-06-15,81,18,1,"Levada"
2007-07-15,85,14,1,"Levada"
2007-08-15,82,16,1,"Levada"
2007-09-15,79,20,1,"Levada"
2007-10-15,82,16,2,"Levada"
2007-11-15,84,15,1,"Levada"
2007-12-15,87,12,1,"Levada"
2008-01-15,86,13,1,"Levada"
2008-02-15,85,13,2,"Levada"
2008-03-15,85,13,2,"Levada"
2008-04-15,86,12,1,"Levada"
2008-05-15,80,15,5,"Levada"
2008-06-15,83,13,5,"Levada"
2008-07-15,80,17,3,"Levada"
2008-08-15,83,15,2,"Levada"
2008-09-15,88,10,2,"Levada"
2008-10-15,83,14,4,"Levada"
2008-11-15,86,12,2,"Levada"
2008-12-15,83,15,2,"Levada"
2009-01-15,83,14,3,"Levada"
2009-02-15,78,20,2,"Levada"
2009-03-15,78,20,2,"Levada"
2009-04-15,76,21,3,"Levada"
2009-05-15,78,18,4,"Levada"
2009-06-15,79,19,2,"Levada"
2009-07-15,78,19,3,"Levada"
2009-08-15,82,16,2,"Levada"
2009-09-15,81,18,1,"Levada"
2009-10-15,78,20,2,"Levada"
2009-11-15,79,19,3,"Levada"
2009-12-15,83,15,2,"Levada"
2010-01-15,78,21,2,"Levada"
2010-02-15,80,19,1,"Levada"
2010-03-15,78,20,2,"Levada"
2010-04-15,78,20,2,"Levada"
2010-05-15,80,19,1,"Levada"
2010-06-15,78,20,2,"Levada"
2010-07-15,77,21,2,"Levada"
2010-08-15,78,20,2,"Levada"
2010-09-15,77,21,2,"Levada"
2010-10-15,77,20,3,"Levada"
2010-11-15,78,19,2,"Levada"
2010-12-15,79,19,2,"Levada"
2011-01-15,72,25,3,"Levada"
2011-02-15,73,25,2,"Levada"
2011-03-15,69,29,2,"Levada"
2011-04-15,71,27,2,"Levada"
2011-05-15,69,29,1,"Levada"
2011-06-15,69,30,2,"Levada"
2011-07-15,68,31,1,"Levada"
2011-08-15,68,30,2,"Levada"
2011-09-15,68,31,2,"Levada"
2011-10-15,66,31,3,"Levada"
2011-11-15,67,32,1,"Levada"
2011-12-15,63,36,1,"Levada"
2012-01-15,64,34,2,"Levada"
2012-02-15,65,34,1,"Levada"
2012-03-15,68,31,1,"Levada"
2012-04-15,67,32,1,"Levada"
2012-05-15,69,30,1,"Levada"
2012-06-15,64,34,2,"Levada"
2012-07-15,67,32,1,"Levada"
2012-08-15,63,35,2,"Levada"
2012-09-15,67,31,2,"Levada"
2012-10-15,67,32,1,"Levada"
2012-11-15,63,36,1,"Levada"
2012-12-15,65,35,1,"Levada"
2013-01-15,62,37,1,"Levada"
2013-02-15,65,34,1,"Levada"
2013-03-15,63,36,1,"Levada"
2013-04-15,63,37,1,"Levada"
2013-05-15,64,35,1,"Levada"
2013-06-15,63,35,1,"Levada"
2013-07-15,65,35,1,"Levada"
2013-08-15,63,36,1,"Levada"
2013-09-15,64,35,1,"Levada"
2013-10-15,64,35,1,"Levada"
2013-11-15,61,37,2,"Levada"
2013-12-15,65,34,2,"Levada"
2014-01-15,65,34,1,"Levada"
2014-02-15,69,30,1,"Levada"
2014-03-15,80,18,2,"Levada"
2014-04-15,82,17,1,"Levada"
2014-05-15,83,16,1,"Levada"
2014-06-15,86,13,1,"Levada"
2014-07-15,85,14,1,"Levada"
2014-08-15,84,15,1,"Levada"
2014-09-15,86,14,1,"Levada"
2014-10-15,88,11,1,"Levada"
2014-11-15,85,14,2,"Levada"
2014-12-15,85,14,1,"Levada"
2015-01-15,85,15,1,"Levada"
2015-02-15,86,13,1,"Levada"
2015-03-15,85,14,1,"Levada"
2015-04-15,86,13,1,"Levada"
2015-05-15,86,13,1,"Levada"
2015-06-15,89,10,1,"Levada"
2015-07-15,87,12,1,"Levada"
2015-08-15,83,17,1,"Levada"
2015-09-15,84,15,1,"Levada"
2015-10-15,88,12,1,"Levada"
2015-11-15,85,14,1,"Levada"
2015-12-15,85,14,1,"Levada"
2016-01-15,82,18,1,"Levada"
2016-02-15,81,19,1,"Levada"
2016-03-15,82,17,1,"Levada"
2016-04-15,82,17,1,"Levada"
2016-05-15,80,19,1,"Levada"
2016-06-15,81,18,1,"Levada"
2016-07-15,82,17,1,"Levada"
2016-08-15,82,18,1,"Levada"
2016-09-15,82,18,1,"Levada"
2016-10-15,84,16,1,"Levada"
2016-11-15,86,14,1,"Levada"
2016-12-15,84,15,1,"Levada"
2017-01-15,85,14,1,"Levada"
2017-02-15,84,15,1,"Levada"
2017-03-15,82,17,1,"Levada"
2017-04-15,82,18,1,"Levada"
2017-05-15,81,18,1,"Levada"
2017-06-15,81,18,1,"Levada"
2017-07-15,83,15,2,"Levada"
2017-08-15,83,15,1,"Levada"
2017-09-15,83,17,1,"Levada"
2017-10-15,82,17,1,"Levada"
2017-11-15,81,18,1,"Levada"
2017-12-15,82,17,1,"Levada"
2018-01-15,80,18,2,"Levada"
2018-02-15,76,22,2,"Levada"
2018-03-15,80,19,1,"Levada"
2018-04-15,82,17,1,"Levada"
2018-05-15,79,20,1,"Levada"
2018-07-15,67,32,1,"Levada"
2018-08-15,70,30,1,"Levada"
2018-09-15,67,33,1,"Levada"
2018-10-15,66,33,1,"Levada"
2018-11-15,66,33,1,"Levada"
2018-12-15,66,33,1,"Levada"
2019-01-15,64,34,1,"Levada"
2019-02-15,64,35,1,"Levada"
2019-03-15,64,34,2,"Levada"
2019-04-15,66,33,1,"Levada"
2019-05-15,66,32,2,"Levada"
2019-06-15,68,31,1,"Levada"
2019-07-15,68,31,1,"Levada"
2019-08-15,67,31,1,"Levada"
2019-09-15,68,31,1,"Levada"
