"Date","Approve","Disapprove","source"
2006-01-15,75.4,17.2,"VTsIOM"
2006-01-22,73.8,18.3,"VTsIOM"
2006-01-29,74.6,16.4,"VTsIOM"
2006-02-05,76,16,"VTsIOM"
2006-02-12,74.2,18.1,"VTsIOM"
2006-02-19,76.3,16.1,"VTsIOM"
2006-02-26,74.5,15.7,"VTsIOM"
2006-03-05,72.3,18.8,"VTsIOM"
2006-03-12,73.3,18.2,"VTsIOM"
2006-03-19,72.5,18.9,"VTsIOM"
2006-02-26,73,18.8,"VTsIOM"
2006-04-02,75.2,17.3,"VTsIOM"
2006-04-09,71.5,19.6,"VTsIOM"
2006-04-16,72,20.3,"VTsIOM"
2006-04-23,70,21.1,"VTsIOM"
2006-05-05,77.5,15.4,"VTsIOM"
2006-05-14,76.3,16.4,"VTsIOM"
2006-05-21,75.6,16,"VTsIOM"
2006-05-28,78.5,15.7,"VTsIOM"
2006-06-04,77,15.6,"VTsIOM"
2006-06-11,75.7,16.4,"VTsIOM"
2006-06-18,78.4,15.2,"VTsIOM"
2006-06-25,77.9,15.2,"VTsIOM"
2006-07-02,78.2,14.6,"VTsIOM"
2006-07-09,78.4,12.8,"VTsIOM"
2006-07-16,79.9,12.5,"VTsIOM"
2006-07-23,78.9,12.4,"VTsIOM"
2006-07-30,80.9,11.8,"VTsIOM"
2006-08-06,76.5,14.5,"VTsIOM"
2006-08-13,78.4,13.8,"VTsIOM"
2006-08-20,80.4,12,"VTsIOM"
2006-08-27,80.8,11.6,"VTsIOM"
2006-09-03,79,13.5,"VTsIOM"
2006-09-10,77.7,13.8,"VTsIOM"
2006-09-17,75.6,16.1,"VTsIOM"
2006-09-24,76.1,15.6,"VTsIOM"
2006-10-01,78.1,13.3,"VTsIOM"
2006-10-08,78,14.1,"VTsIOM"
2006-10-15,78.4,14.5,"VTsIOM"
2006-10-22,78.8,14.5,"VTsIOM"
2006-10-29,80.4,13.6,"VTsIOM"
2006-11-05,78.8,12.5,"VTsIOM"
2006-11-12,80.8,13,"VTsIOM"
2006-11-19,79.5,13.2,"VTsIOM"
2006-11-26,81.2,12.1,"VTsIOM"
2006-12-03,80.5,12.6,"VTsIOM"
2006-12-10,80.3,12.6,"VTsIOM"
2006-12-17,78.5,13.1,"VTsIOM"
2006-12-24,81.4,11.5,"VTsIOM"
2007-01-14,79.2,14.7,"VTsIOM"
2007-01-21,80.2,12.5,"VTsIOM"
2007-01-28,81.3,11.7,"VTsIOM"
2007-02-04,80.2,12.4,"VTsIOM"
2007-02-11,80.2,12.9,"VTsIOM"
2007-02-18,80.8,12.8,"VTsIOM"
2007-02-25,80.6,11.8,"VTsIOM"
2007-03-04,77.9,12.5,"VTsIOM"
2007-03-11,77.4,15.7,"VTsIOM"
2007-03-18,78.8,12.7,"VTsIOM"
2007-03-25,78.4,13.4,"VTsIOM"
2007-04-01,81.5,12.6,"VTsIOM"
2007-04-08,77.6,14.1,"VTsIOM"
2007-04-15,76.4,15.4,"VTsIOM"
2007-04-22,79.2,13.6,"VTsIOM"
2007-04-29,83.1,11,"VTsIOM"
2007-05-13,81.7,11.1,"VTsIOM"
2007-05-20,81.3,10.9,"VTsIOM"
2007-05-27,83.5,10.6,"VTsIOM"
2007-06-03,77.6,13.9,"VTsIOM"
2007-06-10,81.1,11.8,"VTsIOM"
2007-06-17,80.9,11.8,"VTsIOM"
2007-06-24,78.7,11.4,"VTsIOM"
2007-07-01,83.3,10.8,"VTsIOM"
2007-07-08,82.2,11.2,"VTsIOM"
2007-07-15,80.7,10.9,"VTsIOM"
2007-07-22,81.3,11,"VTsIOM"
2007-07-29,83.3,9.4,"VTsIOM"
2007-08-05,80.9,10.6,"VTsIOM"
2007-08-12,80.3,11,"VTsIOM"
2007-08-19,79.5,12.3,"VTsIOM"
2007-08-26,79.1,12.7,"VTsIOM"
2007-09-02,82.8,9.2,"VTsIOM"
2007-09-09,78,12.9,"VTsIOM"
2007-09-16,81.7,11,"VTsIOM"
2007-09-23,83.2,8.2,"VTsIOM"
2007-09-30,81.6,10.8,"VTsIOM"
2007-10-07,82.5,9.8,"VTsIOM"
2007-10-14,83.2,9.8,"VTsIOM"
2007-10-21,81.8,9.9,"VTsIOM"
2007-10-28,83.2,8.6,"VTsIOM"
2007-11-04,81.1,9.8,"VTsIOM"
2007-11-11,82,9.7,"VTsIOM"
2007-11-18,83.2,8.8,"VTsIOM"
2007-11-25,81.1,9.9,"VTsIOM"
2007-11-27,NA,NA,"VTsIOM"
2007-12-09,81.3,11.5,"VTsIOM"
2007-12-16,83.1,10.1,"VTsIOM"
2007-12-23,82.1,9.8,"VTsIOM"
2008-01-06,83.4,10.3,"VTsIOM"
2008-01-13,83.4,9.3,"VTsIOM"
2008-01-20,82,10.2,"VTsIOM"
2008-01-27,84.5,7.4,"VTsIOM"
2008-02-03,82.9,9.2,"VTsIOM"
2008-02-10,83.8,9.8,"VTsIOM"
2008-02-17,82.9,9.4,"VTsIOM"
2008-02-24,83.8,9.6,"VTsIOM"
2008-03-09,79,11.9,"VTsIOM"
2008-03-16,80.4,10.3,"VTsIOM"
2008-03-23,79.6,10.4,"VTsIOM"
2008-03-30,80.4,9.4,"VTsIOM"
2008-04-06,79.4,11.1,"VTsIOM"
2008-04-13,87.4,8.1,"VTsIOM"
2008-04-20,NA,NA,"VTsIOM"
2008-04-27,NA,NA,"VTsIOM"
2008-05-11,74.4,11.9,"VTsIOM"
2008-05-18,70.8,9.1,"VTsIOM"
2008-05-25,68.2,10.9,"VTsIOM"
2008-06-01,72.5,8,"VTsIOM"
2008-06-08,65.8,11.5,"VTsIOM"
2008-06-15,65.5,12.8,"VTsIOM"
2008-06-22,68.2,13,"VTsIOM"
2008-06-29,67.5,10.8,"VTsIOM"
2008-07-05,65.6,12.8,"VTsIOM"
2008-07-13,63.7,16.4,"VTsIOM"
2008-07-20,62.7,15.4,"VTsIOM"
2008-07-27,66.4,13.4,"VTsIOM"
2008-08-17,71.8,12.1,"VTsIOM"
2008-08-24,71.9,11.2,"VTsIOM"
2008-08-31,79.4,8.4,"VTsIOM"
2008-09-07,77,8.5,"VTsIOM"
2008-09-14,76,10.6,"VTsIOM"
2008-09-21,76,10.4,"VTsIOM"
2008-09-28,77.9,7.3,"VTsIOM"
2008-10-05,75.6,10.7,"VTsIOM"
2008-10-12,74.5,10.9,"VTsIOM"
2008-10-19,74.3,11.1,"VTsIOM"
2008-10-26,76.9,10.1,"VTsIOM"
2008-11-02,72.6,12.3,"VTsIOM"
2008-11-09,73.6,10.7,"VTsIOM"
2008-11-16,74.9,12.3,"VTsIOM"
2008-11-23,73.2,13.2,"VTsIOM"
2008-11-30,73.2,11.7,"VTsIOM"
2008-12-07,75.3,10.8,"VTsIOM"
2008-12-14,71.8,13.4,"VTsIOM"
2008-12-21,75.8,10.5,"VTsIOM"
2009-01-11,74.6,11.1,"VTsIOM"
2009-01-18,74.6,13.2,"VTsIOM"
2009-01-25,71.8,12.4,"VTsIOM"
2009-02-01,72.2,12.8,"VTsIOM"
2009-02-08,68.8,16.3,"VTsIOM"
2009-02-15,70.6,15.9,"VTsIOM"
